topic,top_words
0,"geohumanities, submission, articles view, taylor francis, llc, francis group, group llc, francis, citing articles, citing"
1,"monuments, protest, monument, citys, memorial, jewish, residential, symbolic, park, housing"
2,"soviet, russian, medieval, cold war, cold, wartime, forest, agricultural, nazi, peace"
3,"forest, del, latin, brazil, mexican, conservation, disputes, latin america, caribbean, labor"
4,"park, parks, valley, forest, environmental history, wetlands, don, federal, nostalgia, conservation"
5,"internationalism, grid, chinese, housing, memorial, china, communist, asian, soviet union, organisations"
6,"history cartography, battle, mountain, seed, enlightenment, relief, russian, mapmaking, der, cartographers"
7,"jewish, arab, sacred, holy, egypt, middle east, reconstruction, photography, villages, chinese"
8,"forest, cape, gold, grain, forests, davis, soil, agrarian, agricultural, agriculture"
9,"settler, boston, settlers, harris, cole, treaty, indigenous people, plantation, borderlands, virginia"
10,"stephen, nottingham, university canada, university london, london uk, glasgow, university glasgow, syracuse, felix, karl"
11,"arctic, expedition, russian, expeditions, franklin, ice, explorers, explorer, manuscript, williams"
12,"slavery, caribbean, slave, enslaved, speech, south africa, slaves, freedom, languages, dutch"
13,"voyage, cook, voyages, navy, ships, captain, expedition, naval, steam, banks"
14,"canon, canonical, geographys, undergraduate, progress human, gis, radical, anglophone, barnes, russian"
15,"mediterranean, italian, signs, seas, di, exotic, liquid, dutch, libraries, renaissance"
16,"china, chinese, japanese, asian, factors, incorporation, northeast, treaties, inner, yellow"
